"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test adding pharmaceutical category with all valid fields","9868","HM04_01: All required fields are filled with valid data","","Sun Jun 22 01:22:42 MYT 2025","passed","Sun Jun 22 01:22:52 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"","12326","HM02_11: Invalid Last Name with symbols","","Sun Jun 22 01:17:06 MYT 2025","failed","Sun Jun 22 01:17:18 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding lab test with invalid patient name","5609","HM07_04 - Invalid Patient Name","","Sun Jun 22 01:26:27 MYT 2025","failed","Sun Jun 22 01:26:32 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"Test adding pharmaceutical with invalid barcode","6066","HM06_15 - Invalid Barcode","","Sun Jun 22 01:25:49 MYT 2025","failed","Sun Jun 22 01:25:55 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test adding vitals with invalid respiratory rate","3436","HM08_25 - Invalid Respiratory Rate","","Sun Jun 22 01:29:23 MYT 2025","failed","Sun Jun 22 01:29:26 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","12050","HM02_13: Invalid Date of Birth with special characters","","Sun Jun 22 01:17:20 MYT 2025","failed","Sun Jun 22 01:17:32 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding lab test with invalid lab test data","5874","HM07_14 - Invalid Lab Test","","Sun Jun 22 01:27:09 MYT 2025","failed","Sun Jun 22 01:27:15 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"Test adding pharmaceutical with invalid name","5656","HM06_03 - Invalid Pharmaceutical Name","","Sun Jun 22 01:25:04 MYT 2025","failed","Sun Jun 22 01:25:10 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","11160","HM05_07: Invalid Equipment Vendor with special characters","","Sun Jun 22 01:23:55 MYT 2025","failed","Sun Jun 22 01:24:06 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test to verify patient can be added with valid first name","1998","HM02_02: All fields filled with valid First Name","","Sun Jun 22 01:15:35 MYT 2025","passed","Sun Jun 22 01:15:37 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test to verify that patient cannot be added with invalid first name containing special characters","12125","HM02_03: Invalid First Name with special characters","","Sun Jun 22 01:15:37 MYT 2025","failed","Sun Jun 22 01:15:49 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding vitals with valid body temperature","3113","HM08_14 - Valid Body Temperature","","Sun Jun 22 01:28:25 MYT 2025","passed","Sun Jun 22 01:28:28 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding lab test with valid patient ailment","1820","HM07_06 - Valid Patient Ailment","","Sun Jun 22 01:26:38 MYT 2025","passed","Sun Jun 22 01:26:40 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","12520","HM02_31: Invalid Patient Ailment with dashes","","Sun Jun 22 01:19:53 MYT 2025","failed","Sun Jun 22 01:20:06 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","12329","HM02_18: Invalid Age with random text","","Sun Jun 22 01:18:12 MYT 2025","failed","Sun Jun 22 01:18:24 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","1299","HM05_10: All Field are filled with valid Equipment Quantity","","Sun Jun 22 01:24:19 MYT 2025","passed","Sun Jun 22 01:24:20 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test updating employee with space-only first name","4275","HM03_06: All fields are filled with invalid First Name (spaces)","","Sun Jun 22 01:21:06 MYT 2025","failed","Sun Jun 22 01:21:10 MYT 2025","","HM03: Update Employee Tests","",""
"Test updating employee with all valid fields","10163","HM03_01: All required fields are filled with valid data","","Sun Jun 22 01:20:39 MYT 2025","passed","Sun Jun 22 01:20:49 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding vitals with invalid body temperature","2133","HM08_17 - Invalid Body Temperature","","Sun Jun 22 01:28:42 MYT 2025","failed","Sun Jun 22 01:28:44 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding lab test with valid patient name","2058","HM07_02 - Valid Patient Name","","Sun Jun 22 01:26:18 MYT 2025","passed","Sun Jun 22 01:26:21 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","415","HM05_05: Invalid Equipment Name with empty string","","Sun Jun 22 01:23:53 MYT 2025","failed","Sun Jun 22 01:23:54 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"","2391","HM02_29: All fields filled with valid Patient Ailment","","Sun Jun 22 01:19:38 MYT 2025","passed","Sun Jun 22 01:19:40 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","12182","HM02_15: Invalid Date of Birth with random text","","Sun Jun 22 01:17:45 MYT 2025","failed","Sun Jun 22 01:17:57 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","4785","HM03_20: All fields are filled with valid File Type (jpg)","","Sun Jun 22 01:22:10 MYT 2025","passed","Sun Jun 22 01:22:14 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding vitals with valid heart pulse","2980","HM08_18 - Valid Heart Pulse","","Sun Jun 22 01:28:44 MYT 2025","passed","Sun Jun 22 01:28:47 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding vitals with invalid respiratory rate","7122","HM08_23 - Invalid Respiratory Rate","","Sun Jun 22 01:29:08 MYT 2025","failed","Sun Jun 22 01:29:15 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test admin login with incomplete email format","832","HM01_09: should show error with missing wrong format email (Missing Domain)","","Sun Jun 22 01:14:55 MYT 2025","passed","Sun Jun 22 01:14:56 MYT 2025","","HM01: Admin Login Tests","",""
"","2153","HM02_16: All fields filled with valid Age","","Sun Jun 22 01:17:57 MYT 2025","passed","Sun Jun 22 01:17:59 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding vitals with invalid blood pressure","3297","HM08_29 - Invalid Blood Pressure","","Sun Jun 22 01:29:45 MYT 2025","failed","Sun Jun 22 01:29:48 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test admin login with empty password field","732","HM01_10: should show error with empty password (blankspace)","","Sun Jun 22 01:14:56 MYT 2025","passed","Sun Jun 22 01:14:57 MYT 2025","","HM01: Admin Login Tests","",""
"Test adding vitals with valid blood pressure","3342","HM08_26 - Valid Blood Pressure","","Sun Jun 22 01:29:26 MYT 2025","passed","Sun Jun 22 01:29:30 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding lab test with invalid patient ailment","5841","HM07_08 - Invalid Patient Ailment","","Sun Jun 22 01:26:46 MYT 2025","failed","Sun Jun 22 01:26:52 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"Test adding pharmaceutical with invalid name","623","HM06_05 - Invalid Pharmaceutical Name","","Sun Jun 22 01:25:16 MYT 2025","failed","Sun Jun 22 01:25:16 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","4881","HM03_21: All fields are filled with valid File Type (png)","","Sun Jun 22 01:22:15 MYT 2025","passed","Sun Jun 22 01:22:19 MYT 2025","","HM03: Update Employee Tests","",""
"","12326","HM02_24: Invalid Address with only numbers","","Sun Jun 22 01:18:55 MYT 2025","failed","Sun Jun 22 01:19:07 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding vitals with invalid patient ailment","5667","HM08_08 - Invalid Patient Ailment","","Sun Jun 22 01:27:57 MYT 2025","failed","Sun Jun 22 01:28:02 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","4258","HM03_13: All fields are filled with invalid Email (missing username)","","Sun Jun 22 01:21:37 MYT 2025","passed","Sun Jun 22 01:21:41 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding vitals with invalid respiratory rate","7169","HM08_24 - Invalid Respiratory Rate","","Sun Jun 22 01:29:15 MYT 2025","failed","Sun Jun 22 01:29:22 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding pharmaceutical with valid description","2375","HM06_18 - Valid Description","","Sun Jun 22 01:26:03 MYT 2025","passed","Sun Jun 22 01:26:06 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","12126","HM02_05: Invalid First Name with numbers","","Sun Jun 22 01:16:01 MYT 2025","failed","Sun Jun 22 01:16:14 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical with valid category","1845","HM06_10 - Valid Pharmaceutical Category","","Sun Jun 22 01:25:32 MYT 2025","passed","Sun Jun 22 01:25:33 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","2414","HM02_20: All fields filled with valid Address","","Sun Jun 22 01:18:26 MYT 2025","passed","Sun Jun 22 01:18:28 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical with valid quantity","1979","HM06_06 - Valid Pharmaceutical Quantity","","Sun Jun 22 01:25:16 MYT 2025","passed","Sun Jun 22 01:25:18 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test adding vitals with valid patient number","2881","HM08_10 - Valid Patient Number","","Sun Jun 22 01:28:08 MYT 2025","passed","Sun Jun 22 01:28:11 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding vitals with invalid patient ailment","5740","HM08_09 - Invalid Patient Ailment","","Sun Jun 22 01:28:02 MYT 2025","failed","Sun Jun 22 01:28:08 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding vitals with valid patient name","2967","HM08_02 - Valid Patient Name","","Sun Jun 22 01:27:28 MYT 2025","passed","Sun Jun 22 01:27:31 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","4782","HM03_22: All fields are filled with valid File Type (jpeg)","","Sun Jun 22 01:22:20 MYT 2025","passed","Sun Jun 22 01:22:24 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding vitals with invalid body temperature","7133","HM08_16 - Invalid Body Temperature","","Sun Jun 22 01:28:35 MYT 2025","failed","Sun Jun 22 01:28:42 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","11151","HM05_04: Invalid Equipment Name with special characters","","Sun Jun 22 01:23:42 MYT 2025","failed","Sun Jun 22 01:23:53 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test adding lab test with invalid patient ailment","5671","HM07_07 - Invalid Patient Ailment","","Sun Jun 22 01:26:40 MYT 2025","failed","Sun Jun 22 01:26:46 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","1240","HM05_06: All Field are filled with valid Equipment Vendor","","Sun Jun 22 01:23:54 MYT 2025","passed","Sun Jun 22 01:23:55 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test adding vitals with invalid patient name","5671","HM08_04 - Invalid Patient Name","","Sun Jun 22 01:27:36 MYT 2025","failed","Sun Jun 22 01:27:42 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","1921","HM02_28: Invalid Mobile Number with empty string","","Sun Jun 22 01:19:36 MYT 2025","failed","Sun Jun 22 01:19:38 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical with invalid name","5731","HM06_04 - Invalid Pharmaceutical Name","","Sun Jun 22 01:25:10 MYT 2025","failed","Sun Jun 22 01:25:16 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test adding pharmaceutical with missing vendor","5240","HM06_13 - Missing Vendor","","Sun Jun 22 01:25:41 MYT 2025","failed","Sun Jun 22 01:25:46 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test adding vitals with invalid patient number","5611","HM08_12 - Invalid Patient Number","","Sun Jun 22 01:28:17 MYT 2025","failed","Sun Jun 22 01:28:23 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","2134","HM02_12: All fields filled with valid Date of Birth","","Sun Jun 22 01:17:18 MYT 2025","passed","Sun Jun 22 01:17:20 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical category with empty description","4324","HM04_09: Invalid Pharmaceutical Category Description","","Sun Jun 22 01:23:21 MYT 2025","failed","Sun Jun 22 01:23:25 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"","4849","HM03_19: All fields are filled with invalid Password (no special characters)","","Sun Jun 22 01:22:05 MYT 2025","failed","Sun Jun 22 01:22:09 MYT 2025","","HM03: Update Employee Tests","",""
"","4102","HM03_14: All fields are filled with invalid Email (empty)","","Sun Jun 22 01:21:41 MYT 2025","passed","Sun Jun 22 01:21:45 MYT 2025","","HM03: Update Employee Tests","",""
"","4441","HM03_16: All fields are filled with invalid Password (spaces)","","Sun Jun 22 01:21:50 MYT 2025","failed","Sun Jun 22 01:21:55 MYT 2025","","HM03: Update Employee Tests","",""
"","12205","HM02_22: Invalid Address with symbols and underscore","","Sun Jun 22 01:18:41 MYT 2025","failed","Sun Jun 22 01:18:53 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","1364","HM05_14: All Field are filled with valid Pharmaceutical Category Description","","Sun Jun 22 01:24:44 MYT 2025","passed","Sun Jun 22 01:24:46 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test updating employee with special character first name","4199","HM03_05: All fields are filled with invalid First Name (special characters)","","Sun Jun 22 01:21:01 MYT 2025","failed","Sun Jun 22 01:21:05 MYT 2025","","HM03: Update Employee Tests","",""
"","4274","HM03_12: All fields are filled with invalid Email (missing domain)","","Sun Jun 22 01:21:33 MYT 2025","passed","Sun Jun 22 01:21:37 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding pharmaceutical with invalid quantity","5825","HM06_07 - Invalid Pharmaceutical Quantity","","Sun Jun 22 01:25:19 MYT 2025","failed","Sun Jun 22 01:25:24 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","5062","HM03_24: All fields are filled with invalid File Type (pdf)","","Sun Jun 22 01:22:30 MYT 2025","failed","Sun Jun 22 01:22:35 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding lab test with invalid patient name","5633","HM07_05 - Invalid Patient Name","","Sun Jun 22 01:26:32 MYT 2025","failed","Sun Jun 22 01:26:38 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","4900","HM03_18: All fields are filled with invalid Password (numbers only)","","Sun Jun 22 01:22:00 MYT 2025","failed","Sun Jun 22 01:22:05 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding vitals with invalid heart pulse","2497","HM08_21 - Invalid Heart Pulse","","Sun Jun 22 01:29:02 MYT 2025","failed","Sun Jun 22 01:29:04 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","12268","HM02_26: Invalid Mobile Number with Alphabets","","Sun Jun 22 01:19:10 MYT 2025","failed","Sun Jun 22 01:19:23 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical with missing description","6405","HM06_19 - Missing Description","","Sun Jun 22 01:26:06 MYT 2025","failed","Sun Jun 22 01:26:12 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test to verify that patient cannot be added with empty first name","11954","HM02_04: Invalid First Name with empty string","","Sun Jun 22 01:15:49 MYT 2025","failed","Sun Jun 22 01:16:01 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical with valid name","1736","HM06_02 - Valid Pharmaceutical Name","","Sun Jun 22 01:25:02 MYT 2025","passed","Sun Jun 22 01:25:04 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test admin login with numeric password","988","HM01_06: should show error with invalid password (12345)","","Sun Jun 22 01:14:53 MYT 2025","passed","Sun Jun 22 01:14:54 MYT 2025","","HM01: Admin Login Tests","",""
"Test adding pharmaceutical with valid data","1922","HM06_01: Should add pharmaceutical with valid data","","Sun Jun 22 01:25:00 MYT 2025","passed","Sun Jun 22 01:25:02 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test adding pharmaceutical category with valid vendor","4184","HM04_07: Valid Pharmaceutical Vendor","","Sun Jun 22 01:23:12 MYT 2025","passed","Sun Jun 22 01:23:16 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"","4523","HM03_11: All fields are filled with valid Email","","Sun Jun 22 01:21:28 MYT 2025","passed","Sun Jun 22 01:21:32 MYT 2025","","HM03: Update Employee Tests","",""
"Test admin login with wrong password","970","HM01_04: should show error with wrong credentials (admin@mail.com / Abcde)","","Sun Jun 22 01:14:51 MYT 2025","passed","Sun Jun 22 01:14:52 MYT 2025","","HM01: Admin Login Tests","",""
"","11243","HM05_08: Invalid Equipment Vendor with dashes","","Sun Jun 22 01:24:06 MYT 2025","failed","Sun Jun 22 01:24:18 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test updating employee with numeric last name","4358","HM03_08: All fields are filled with invalid Last Name (numbers)","","Sun Jun 22 01:21:14 MYT 2025","failed","Sun Jun 22 01:21:19 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding vitals with invalid body temperature","6910","HM08_15 - Invalid Body Temperature","","Sun Jun 22 01:28:28 MYT 2025","failed","Sun Jun 22 01:28:35 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding pharmaceutical with valid barcode","2234","HM06_14 - Valid Barcode (EAN-8)","","Sun Jun 22 01:25:46 MYT 2025","passed","Sun Jun 22 01:25:49 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","11969","HM02_09: Invalid Last Name with empty string","","Sun Jun 22 01:16:41 MYT 2025","failed","Sun Jun 22 01:16:53 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","12435","HM02_32: Invalid Patient Ailment with numbers","","Sun Jun 22 01:20:06 MYT 2025","failed","Sun Jun 22 01:20:19 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","12206","HM02_10: Invalid Last Name with numbers","","Sun Jun 22 01:16:53 MYT 2025","failed","Sun Jun 22 01:17:05 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","4587","HM03_15: All fields are filled with valid Password","","Sun Jun 22 01:21:46 MYT 2025","passed","Sun Jun 22 01:21:50 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding pharmaceutical category with all invalid fields","3997","HM04_03: All required fields are filled with invalid data","","Sun Jun 22 01:22:56 MYT 2025","failed","Sun Jun 22 01:23:00 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"Test admin login with valid credentials","6151","HM01_01: should login with correct credentials (admin@mail.com / Password@123)","","Sun Jun 22 01:14:42 MYT 2025","passed","Sun Jun 22 01:14:48 MYT 2025","","HM01: Admin Login Tests","",""
"Test adding pharmaceutical with invalid barcode","6059","HM06_16 - Invalid Barcode","","Sun Jun 22 01:25:55 MYT 2025","failed","Sun Jun 22 01:26:01 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test adding vitals with invalid blood pressure","7326","HM08_27 - Invalid Blood Pressure","","Sun Jun 22 01:29:30 MYT 2025","failed","Sun Jun 22 01:29:37 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test admin login with correct email and password","1105","HM01_02: should login with correct email (admin@mail.com)","","Sun Jun 22 01:14:48 MYT 2025","passed","Sun Jun 22 01:14:50 MYT 2025","","HM01: Admin Login Tests","",""
"Test adding lab test with invalid patient ailment","5706","HM07_09 - Invalid Patient Ailment","","Sun Jun 22 01:26:52 MYT 2025","failed","Sun Jun 22 01:26:57 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"Test adding lab test with all valid fields","4358","HM07_01 - All required fields valid","","Sun Jun 22 01:26:14 MYT 2025","passed","Sun Jun 22 01:26:18 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"Test adding pharmaceutical with invalid quantity","5964","HM06_08 - Invalid Pharmaceutical Quantity","","Sun Jun 22 01:25:25 MYT 2025","failed","Sun Jun 22 01:25:30 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test adding vitals with invalid patient name","5682","HM08_05 - Invalid Patient Name","","Sun Jun 22 01:27:42 MYT 2025","failed","Sun Jun 22 01:27:48 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test admin login with correct credentials","1049","HM01_03: should login with correct password (Password@123)","","Sun Jun 22 01:14:50 MYT 2025","passed","Sun Jun 22 01:14:51 MYT 2025","","HM01: Admin Login Tests","",""
"Test adding pharmaceutical with invalid quantity","981","HM06_09 - Invalid Pharmaceutical Quantity","","Sun Jun 22 01:25:31 MYT 2025","failed","Sun Jun 22 01:25:32 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test updating employee with numeric first name","4068","HM03_04: All fields are filled with invalid First Name (numbers)","","Sun Jun 22 01:20:57 MYT 2025","failed","Sun Jun 22 01:21:01 MYT 2025","","HM03: Update Employee Tests","",""
"","810","HM05_09: Invalid Equipment Vendor with empty string","","Sun Jun 22 01:24:18 MYT 2025","failed","Sun Jun 22 01:24:19 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test adding vitals with invalid patient name","5563","HM08_03 - Invalid Patient Name","","Sun Jun 22 01:27:31 MYT 2025","failed","Sun Jun 22 01:27:36 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","2039","HM02_07: All fields filled with valid Last Name","","Sun Jun 22 01:16:26 MYT 2025","passed","Sun Jun 22 01:16:28 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test to verify that patient can be added successfully with all valid required fields","6135","HM02_01: All required fields are filled (valid data)","","Sun Jun 22 01:15:29 MYT 2025","passed","Sun Jun 22 01:15:35 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test updating employee with all invalid fields","3760","HM03_03: All required fields are filled with invalid data","","Sun Jun 22 01:20:53 MYT 2025","passed","Sun Jun 22 01:20:57 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding pharmaceutical with invalid barcode","1702","HM06_17 - Invalid Barcode","","Sun Jun 22 01:26:01 MYT 2025","failed","Sun Jun 22 01:26:03 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"Test admin login with invalid email domain","1135","HM01_11: should show error with invalid email format (wrong domain)","","Sun Jun 22 01:14:57 MYT 2025","passed","Sun Jun 22 01:14:58 MYT 2025","","HM01: Admin Login Tests","",""
"","2276","HM02_25: All fields filled with valid Mobile Number","","Sun Jun 22 01:19:08 MYT 2025","passed","Sun Jun 22 01:19:10 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","12246","HM02_17: Invalid Age with special characters","","Sun Jun 22 01:18:00 MYT 2025","failed","Sun Jun 22 01:18:12 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test updating employee with valid first name","4008","HM03_02: All fields are filled with valid First Name","","Sun Jun 22 01:20:49 MYT 2025","passed","Sun Jun 22 01:20:53 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding pharmaceutical category with special character category name","4132","HM04_05: Invalid Pharmaceutical Category Name (special characters)","","Sun Jun 22 01:23:04 MYT 2025","failed","Sun Jun 22 01:23:08 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"Test adding lab test with invalid patient number","5611","HM07_11 - Invalid Patient Number","","Sun Jun 22 01:27:00 MYT 2025","failed","Sun Jun 22 01:27:05 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","12487","HM02_30: Invalid Patient Ailment with special characters","","Sun Jun 22 01:19:40 MYT 2025","failed","Sun Jun 22 01:19:53 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","12641","HM02_35: Invalid Patient Type with Choose option","","Sun Jun 22 01:20:24 MYT 2025","failed","Sun Jun 22 01:20:37 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical with valid vendor","2169","HM06_12 - Valid Pharmaceutical Vendor","","Sun Jun 22 01:25:39 MYT 2025","passed","Sun Jun 22 01:25:41 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","11295","HM05_15: Invalid Pharmaceutical Category Description with empty string","","Sun Jun 22 01:24:46 MYT 2025","failed","Sun Jun 22 01:24:57 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"","12218","HM02_06: Invalid First Name with symbols","","Sun Jun 22 01:16:14 MYT 2025","failed","Sun Jun 22 01:16:26 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding vitals with invalid patient number","5619","HM08_11 - Invalid Patient Number","","Sun Jun 22 01:28:11 MYT 2025","failed","Sun Jun 22 01:28:17 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","1261","HM02_23: Invalid Address with empty string","","Sun Jun 22 01:18:54 MYT 2025","failed","Sun Jun 22 01:18:55 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding patient vitals with all valid fields","4623","HM08_01 - All required fields valid","","Sun Jun 22 01:27:23 MYT 2025","passed","Sun Jun 22 01:27:28 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
